,subject,problem,choice,samplesize
389,14,49,0,4
390,15,0,0,9
391,15,1,1,14
392,15,2,1,3
393,15,3,0,2
394,15,4,0,7
395,15,5,1,10
396,15,6,0,18
397,15,7,0,20
398,15,8,0,13
399,15,9,0,2
400,15,20,1,2
401,15,21,0,2
402,15,22,0,4
403,15,23,1,26
404,15,24,0,2
405,15,25,0,2
406,15,26,0,9
407,15,27,0,8
408,15,28,1,38
409,15,29,0,25
410,15,40,1,11
411,15,41,0,11
412,15,42,1,18
413,15,43,0,5
414,15,44,0,3
415,15,45,1,2
416,15,46,1,7
417,15,47,0,2
418,15,48,1,29
419,15,49,0,19
420,16,0,1,4
421,16,1,0,2
422,16,2,0,4
423,16,3,0,2
424,16,4,0,12
425,16,5,0,2
426,16,6,1,2
427,16,7,0,2
428,16,8,0,2
429,16,9,0,2
430,16,20,0,2
431,16,21,0,10
432,16,22,0,2
433,16,23,0,2
434,16,24,0,2
435,16,25,0,2
436,16,26,1,3
437,16,27,1,2
438,16,28,1,2
439,16,29,1,2
440,16,40,1,6
441,16,41,0,3
442,16,42,1,2
443,16,43,0,2
444,16,44,1,2
445,16,45,1,3
446,16,46,0,12
447,16,47,0,17
448,16,48,0,2
449,16,49,0,2
450,17,0,1,7
451,17,1,0,6
452,17,2,0,12
453,17,3,0,6
454,17,4,0,2
455,17,5,1,4
456,17,6,1,2
457,17,7,0,2
458,17,8,0,5
459,17,9,0,4
460,17,20,1,4
461,17,21,0,4
462,17,22,0,2
463,17,23,1,4
464,17,24,0,4
465,17,25,0,36
466,17,26,0,8
467,17,27,1,2
468,17,28,1,2
469,17,29,1,8
470,17,40,1,2
471,17,41,0,2
472,17,42,1,2
473,17,43,0,4
474,17,44,1,2
475,17,45,1,2
476,17,46,1,2
477,17,47,0,2
478,17,48,0,2
479,17,49,0,4
480,18,0,0,6
481,18,1,1,7
482,18,2,1,14
483,18,3,0,14
484,18,4,0,6
485,18,5,1,6
486,18,6,0,6
487,18,7,0,6
488,18,8,0,5
489,18,9,0,6
490,18,20,1,7
491,18,21,0,6
492,18,22,0,8
493,18,23,1,8
494,18,24,0,8
495,18,25,0,6
496,18,26,1,5
497,18,27,0,4
498,18,28,1,6
499,18,29,1,5
500,18,40,0,6
501,18,41,0,6
502,18,42,1,6
503,18,43,0,8
504,18,44,1,4
505,18,45,1,6
506,18,46,1,6
507,18,47,0,8
508,18,48,1,5
509,18,49,0,9
510,19,0,1,16
511,19,1,1,6
512,19,2,1,11
513,19,3,0,11
514,19,4,1,17
515,19,5,0,5
516,19,6,0,13
517,19,7,0,22
518,19,8,1,18
519,19,9,0,15
520,19,20,0,12
521,19,21,1,11
522,19,22,1,6
523,19,23,1,12
524,19,24,0,13
525,19,25,0,12
526,19,26,0,10
527,19,27,0,8
528,19,28,0,8
529,19,29,1,14
530,19,40,0,10
531,19,41,1,6
532,19,42,1,8
533,19,43,0,24
534,19,44,1,10
535,19,45,0,8
536,19,46,1,26
537,19,47,0,8
538,19,48,1,12
539,19,49,0,18
540,20,0,1,2
541,20,1,1,2
542,20,2,1,3
543,20,3,0,2
544,20,4,0,2
545,20,5,0,2
546,20,6,0,2
547,20,7,0,2
548,20,8,1,2
549,20,9,0,2
550,20,20,0,2
551,20,21,0,2
552,20,22,0,2
553,20,23,1,3
554,20,24,0,2
555,20,25,0,2
556,20,26,1,2
557,20,27,1,2
558,20,28,0,2
559,20,29,0,2
560,20,40,1,2
561,20,41,0,2
562,20,42,0,2
563,20,43,1,2
564,20,44,0,4
565,20,45,1,2
566,20,46,1,4
567,20,47,0,4
568,20,48,1,2
569,20,49,1,2
570,21,10,1,59
571,21,11,0,10
572,21,12,1,3
573,21,13,1,17
574,21,14,0,4
575,21,15,0,21
576,21,16,1,25
577,21,17,0,8
578,21,18,1,17
579,21,19,0,30
580,21,30,0,10
581,21,31,1,7
582,21,32,0,2
583,21,33,0,20
584,21,34,1,9
585,21,35,0,72
586,21,36,0,40
587,21,37,0,5
588,21,38,1,3
589,21,39,0,2
590,21,50,0,8
591,21,51,0,8
592,21,52,0,4
593,21,53,1,12
594,21,54,0,4
595,21,55,1,2
596,21,56,1,7
597,21,57,0,2
598,21,58,1,2
599,21,59,0,3
600,22,10,0,11
601,22,11,1,11
602,22,12,1,8
603,22,13,1,21
604,22,14,0,17
605,22,15,1,5
606,22,16,0,10
607,22,17,1,8
608,22,18,1,5
609,22,19,0,8
610,22,30,1,20
611,22,31,0,20
612,22,32,1,6
613,22,33,0,8
614,22,34,0,12
615,22,35,1,4
616,22,36,0,11
617,22,37,1,4
618,22,38,0,10
619,22,39,0,23
620,22,50,0,7
621,22,51,1,7
622,22,52,1,13
623,22,53,1,19
624,22,54,1,5
625,22,55,0,17
626,22,56,0,6
627,22,57,0,37
628,22,58,1,11
629,22,59,1,10
630,23,10,0,4
631,23,11,1,8
632,23,12,1,2
633,23,13,1,2
634,23,14,0,7
635,23,15,1,2
636,23,16,0,2
637,23,17,1,2
638,23,18,1,2
639,23,19,0,3
640,23,30,0,2
641,23,31,1,7
642,23,32,0,2
643,23,33,0,2
644,23,34,1,6
645,23,35,1,5
646,23,36,0,3
647,23,37,1,2
648,23,38,0,2
649,23,39,0,4
650,23,50,0,2
651,23,51,0,2
652,23,52,1,2
653,23,53,1,4
654,23,54,1,9
655,23,55,0,32
656,23,56,1,2
657,23,57,0,3
658,23,58,1,4
659,23,59,1,11
660,24,10,0,11
661,24,11,1,16
662,24,12,1,12
663,24,13,1,16
664,24,14,1,16
665,24,15,1,13
666,24,16,0,14
667,24,17,1,12
668,24,18,1,23
669,24,19,1,12
670,24,30,0,9
671,24,31,1,11
672,24,32,0,17
673,24,33,0,18
674,24,34,1,13
675,24,35,1,17
676,24,36,1,16
677,24,37,1,17
678,24,38,1,12
679,24,39,0,11
680,24,50,0,17
681,24,51,1,20
682,24,52,1,12
683,24,53,1,14
684,24,54,1,13
685,24,55,1,11
686,24,56,0,17
687,24,57,0,16
688,24,58,1,12
689,24,59,0,11
690,25,10,0,2
691,25,11,0,2
692,25,12,1,2
693,25,13,1,2
694,25,14,0,2
695,25,15,1,2
696,25,16,1,2
697,25,17,1,2
698,25,18,1,3
699,25,19,0,3
700,25,30,1,2
701,25,31,0,2
702,25,32,1,4
703,25,33,0,2
704,25,34,0,2
705,25,35,1,3
706,25,36,1,3
707,25,37,1,3
708,25,38,0,5
709,25,39,1,2
710,25,50,1,2
711,25,51,1,2
712,25,52,0,2
713,25,53,0,2
714,25,54,0,2
715,25,55,0,3
716,25,56,0,2
717,25,57,1,3
718,25,58,1,3
719,25,59,1,2
720,26,10,0,10
721,26,11,1,14
722,26,12,1,8
723,26,13,1,12
724,26,14,0,12
725,26,15,1,14
726,26,16,0,9
727,26,17,1,15
728,26,18,1,8
729,26,19,1,6
730,26,30,0,12
731,26,31,1,8
732,26,32,0,10
733,26,33,0,8
734,26,34,1,7
735,26,35,1,10
736,26,36,0,10
737,26,37,1,4
738,26,38,1,18
739,26,39,0,10
740,26,50,0,8
741,26,51,1,7
742,26,52,1,9
743,26,53,1,9
744,26,54,1,6
745,26,55,1,10
746,26,56,1,8
747,26,57,0,8
748,26,58,1,7
749,26,59,0,6
750,27,10,0,4
751,27,11,0,4
752,27,12,1,8
753,27,13,1,17
754,27,14,1,13
755,27,15,1,8
756,27,16,1,32
757,27,17,0,12
758,27,18,1,16
759,27,19,1,4
760,27,30,0,3
761,27,31,1,7
762,27,32,0,5
763,27,33,0,14
764,27,34,1,12
765,27,35,1,11
766,27,36,1,7
767,27,37,0,7
768,27,38,1,28
769,27,39,0,9
770,27,50,0,6
771,27,51,0,12
772,27,52,1,5
773,27,53,1,16
774,27,54,1,8
775,27,55,1,8
776,27,56,0,9
777,27,57,0,17
778,27,58,0,8
779,27,59,0,5
780,28,10,0,8
781,28,11,0,6
782,28,12,1,6
783,28,13,0,7
784,28,14,1,6
785,28,15,0,7
786,28,16,1,11
787,28,17,0,9
788,28,18,1,11
789,28,19,1,6
790,28,30,1,7
791,28,31,0,12
792,28,32,1,8
793,28,33,0,4
794,28,34,0,8
795,28,35,1,5
796,28,36,1,4
797,28,37,1,6
798,28,38,0,8
799,28,39,0,9
800,28,50,1,5
801,28,51,0,6
802,28,52,1,9
803,28,53,0,7
804,28,54,1,7
805,28,55,1,5
806,28,56,0,7
807,28,57,0,9
808,28,58,1,13
809,28,59,1,12
810,29,10,0,19
811,29,11,1,21
812,29,12,0,13
813,29,13,1,11
814,29,14,1,14
815,29,15,1,25
816,29,16,1,29
817,29,17,0,11
818,29,18,1,13
819,29,19,1,17
820,29,30,0,17
821,29,31,0,15
822,29,32,0,30
823,29,33,0,22
824,29,34,0,12
825,29,35,1,18
826,29,36,1,9
827,29,37,1,26
828,29,38,1,22
829,29,39,1,14
830,29,50,0,15
831,29,51,0,7
832,29,52,0,14
833,29,53,1,17
834,29,54,1,16
835,29,55,0,15
836,29,56,0,10
837,29,57,0,24
838,29,58,0,16
839,29,59,1,10
840,30,10,0,2
841,30,11,1,2
842,30,12,1,2
843,30,13,1,2
844,30,14,0,2
845,30,15,0,3
846,30,16,1,2
847,30,17,1,2
848,30,18,0,2
849,30,19,1,2
850,30,30,0,2
851,30,31,1,8
852,30,32,0,2
853,30,33,0,2
854,30,34,0,2
855,30,35,1,2
856,30,36,1,2
857,30,37,1,2
858,30,38,1,2
859,30,39,0,2
860,30,50,1,2
861,30,51,1,2
862,30,52,0,2
863,30,53,1,3
864,30,54,1,5
865,30,55,1,2
866,30,56,1,2
867,30,57,0,2
868,30,58,1,2
869,30,59,0,2
870,31,10,0,15
871,31,11,0,20
872,31,12,1,25
873,31,13,1,23
874,31,14,0,16
875,31,15,0,30
876,31,16,0,29
877,31,17,1,19
878,31,18,1,34
879,31,19,1,19
880,31,30,1,18
881,31,31,1,26
882,31,32,1,18
883,31,33,1,21
884,31,34,0,23
885,31,35,0,24
886,31,36,1,26
887,31,37,1,19
888,31,38,1,16
889,31,39,0,30
890,31,50,1,21
891,31,51,1,25
892,31,52,0,14
893,31,53,1,34
894,31,54,0,27
895,31,55,0,26
896,31,56,0,23
897,31,57,0,23
898,31,58,0,23
899,31,59,1,35
900,32,10,0,12
901,32,11,1,26
902,32,12,1,15
903,32,13,0,15
904,32,14,0,24
905,32,15,1,9
906,32,16,1,29
907,32,17,1,6
908,32,18,1,20
909,32,19,1,14
910,32,30,0,12
911,32,31,0,19
912,32,32,0,16
913,32,33,0,8
914,32,34,1,12
915,32,35,1,23
916,32,36,0,17
917,32,37,1,29
918,32,38,0,14
919,32,39,1,4
920,32,50,1,23
921,32,51,1,11
922,32,52,1,12
923,32,53,0,22
924,32,54,0,9
925,32,55,0,49
926,32,56,1,14
927,32,57,1,37
928,32,58,1,17
929,32,59,1,20
930,33,10,0,6
931,33,11,1,4
932,33,12,1,4
933,33,13,1,5
934,33,14,0,3
935,33,15,1,3
936,33,16,0,3
937,33,17,1,4
938,33,18,1,6
939,33,19,1,7
940,33,30,0,2
941,33,31,0,4
942,33,32,0,8
943,33,33,0,8
944,33,34,1,6
945,33,35,1,3
946,33,36,0,3
947,33,37,1,2
948,33,38,0,7
949,33,39,0,2
950,33,50,0,4
951,33,51,1,2
952,33,52,1,2
953,33,53,1,6
954,33,54,1,5
955,33,55,1,7
956,33,56,1,9
957,33,57,0,2
958,33,58,1,6
959,33,59,0,4
960,34,10,0,12
961,34,11,1,7
962,34,12,1,23
963,34,13,0,43
964,34,14,0,32
965,34,15,1,19
966,34,16,0,18
967,34,17,1,15
968,34,18,1,24
969,34,19,1,24
970,34,30,1,27
971,34,31,1,20
972,34,32,1,7
973,34,33,0,10
974,34,34,0,24
975,34,35,1,18
976,34,36,1,19
977,34,37,1,12
978,34,38,1,37
979,34,39,0,36
980,34,50,0,11
981,34,51,1,13
982,34,52,1,19
983,34,53,1,5
984,34,54,1,18
985,34,55,0,18
986,34,56,0,23
987,34,57,1,12
988,34,58,1,21
989,34,59,0,26
990,35,10,0,3
991,35,11,1,2
992,35,12,0,19
993,35,13,0,3
994,35,14,0,2
995,35,15,1,2
996,35,16,1,12
997,35,17,0,25
998,35,18,0,12
999,35,19,1,13
1000,35,30,0,6
1001,35,31,0,10
1002,35,32,0,4
1003,35,33,0,10
1004,35,34,1,24
1005,35,35,1,5
1006,35,36,0,5
1007,35,37,1,2
1008,35,38,1,15
1009,35,39,0,28
1010,35,50,0,3
1011,35,51,1,3
1012,35,52,1,4
1013,35,53,1,12
1014,35,54,1,6
1015,35,55,1,4
1016,35,56,0,9
1017,35,57,1,18
1018,35,58,0,3
1019,35,59,0,3
1020,36,10,1,6
1021,36,11,0,7
1022,36,12,0,7
1023,36,13,1,15
1024,36,14,1,9
1025,36,15,0,9
1026,36,16,1,22
1027,36,17,0,7
1028,36,18,0,14
1029,36,19,1,9
1030,36,30,0,12
1031,36,31,0,9
1032,36,32,0,18
1033,36,33,0,17
1034,36,34,1,19
1035,36,35,0,7
1036,36,36,1,10
1037,36,37,0,8
1038,36,38,1,17
1039,36,39,1,9
1040,36,50,0,16
1041,36,51,1,13
1042,36,52,1,12
1043,36,53,0,24
1044,36,54,0,13
1045,36,55,0,8
1046,36,56,1,11
1047,36,57,1,12
1048,36,58,0,4
1049,36,59,1,9
1050,37,10,0,21
1051,37,11,0,15
1052,37,12,1,20
1053,37,13,1,6
1054,37,14,1,6
1055,37,15,1,9
1056,37,16,1,19
1057,37,17,0,29
1058,37,18,1,72
1059,37,19,1,6
1060,37,30,1,15
1061,37,31,0,9
1062,37,32,0,14
1063,37,33,1,8
1064,37,34,1,20
1065,37,35,0,15
1066,37,36,1,10
1067,37,37,1,21
1068,37,38,1,9
1069,37,39,0,31
1070,37,50,1,6
1071,37,51,1,18
1072,37,52,1,10
1073,37,53,0,10
1074,37,54,1,11
1075,37,55,0,13
1076,37,56,0,17
1077,37,57,1,7
1078,37,58,0,12
1079,37,59,0,7
1080,38,10,1,20
1081,38,11,1,22
1082,38,12,0,12
1083,38,13,1,15
1084,38,14,0,31
1085,38,15,1,28
1086,38,16,1,17
1087,38,17,0,12
1088,38,18,0,8
1089,38,19,1,6
1090,38,30,0,25
1091,38,31,1,15
1092,38,32,0,36
1093,38,33,0,37
1094,38,34,0,30
1095,38,35,1,27
1096,38,36,1,12
1097,38,37,0,16
1098,38,38,1,17
1099,38,39,1,37
1100,38,50,1,13
1101,38,51,1,65
1102,38,52,1,25
1103,38,53,1,27
1104,38,54,1,20
1105,38,55,1,41
1106,38,56,1,12
1107,38,57,1,15
1108,38,58,0,19
1109,38,59,1,14
1110,39,10,0,6
1111,39,11,1,8
1112,39,12,1,8
1113,39,13,1,7
1114,39,14,0,4
1115,39,15,1,6
1116,39,16,0,10
1117,39,17,1,11
1118,39,18,1,5
1119,39,19,1,10
1120,39,30,0,8
1121,39,31,1,7
1122,39,32,0,12
1123,39,33,0,4
1124,39,34,1,8
1125,39,35,1,14
1126,39,36,1,8
1127,39,37,1,4
1128,39,38,1,9
1129,39,39,1,4
1130,39,50,0,6
1131,39,51,1,7
1132,39,52,1,7
1133,39,53,1,17
1134,39,54,0,4
1135,39,55,0,10
1136,39,56,0,7
1137,39,57,0,8
1138,39,58,0,6
1139,39,59,0,7
1140,40,10,0,7
1141,40,11,1,18
1142,40,12,1,10
1143,40,13,1,3
1144,40,14,0,12
1145,40,15,1,5
1146,40,16,0,7
1147,40,17,1,14
1148,40,18,1,3
1149,40,19,1,18
1150,40,30,0,11
1151,40,31,1,3
1152,40,32,0,3
1153,40,33,0,4
1154,40,34,0,7
1155,40,35,1,9
1156,40,36,1,3
1157,40,37,1,29
1158,40,38,1,2
1159,40,39,0,3
1160,40,50,0,4
1161,40,51,1,7
1162,40,52,1,3
1163,40,53,1,8
1164,40,54,1,3
1165,40,55,1,4
1166,40,56,1,5
1167,40,57,0,3
1168,40,58,0,13
1169,40,59,0,7
